Age Group Bins,Age group1,MMWR week1,MMWR week2 (copy),Month,Outcome,Vaccine product,Week,Age adjusted IRR,Age adjusted unvax IR,Age adjusted vax IR,Continuity correction,Crude IRR,Crude unvax IR,Crude unvax IR (copy),Crude vax IR,Crude vax IR (copy),F19,F20,Fully vaccinated population,Unvaccinated population,Unvaccinated with outcome,Unvax Rate,Vaccinated with outcome,Vax Rate,Week no
50-79,50-64,202116,2021-16,01/04/2004,case,all_types,2021-16,,,,0,9.423064556,167.5243478,167.5243478,17.77811738,17.77811738,,,10417301,19600136,32835,167.524347790,1852,17.778117384,16
50-79,65-79,202116,2021-16,01/04/2004,case,all_types,2021-16,,,,0,13.21983942,141.4746101,141.4746101,10.701689,10.701689,,,15857310,7574504,10716,141.474610087,1697,10.701689000,16
80+,80+,202116,2021-16,01/04/2004,case,all_types,2021-16,,,,0,6.853741482,100.1160409,100.1160409,14.60750179,14.60750179,,,5038507,2562027,2565,100.116040932,736,14.607501786,16
all_ages_adj,all_ages_adj,202116,2021-16,01/04/2004,case,all_types,2021-16,9.652928441,172.6406307,17.88479339,0,10.93868451,173.7586061,173.7586061,15.88478084,15.88478084,,,44734643,107091674,186081,173.758606108,7106,15.884780840,16
all_ages_adj,all_ages_adj,202116,2021-16,01/04/2004,case,Janssen,2021-16,4.740166261,172.6406307,36.42079649,0,4.271224824,173.7586061,173.7586061,40.68121283,40.68121283,,,4051010,107091674,186081,173.758606108,1648,40.681212833,16
all_ages_adj,all_ages_adj,202116,2021-16,01/04/2004,case,Moderna,2021-16,11.48207832,172.6406307,15.03566044,0,17.21172385,173.7586061,173.7586061,10.09536335,10.09536335,,,18632316,107091674,186081,173.758606108,1881,10.095363346,16
all_ages_adj,all_ages_adj,202116,2021-16,01/04/2004,case,Pfizer,2021-16,9.978785692,172.6406307,17.30076545,0,10.72154942,173.7586061,173.7586061,16.20648278,16.20648278,,,21978859,107091674,186081,173.758606108,3562,16.206482784,16
5-17,Dec-17,202117,2021-17,01/04/2004,case,all_types,2021-17,,,,0,7.939545374,142.524151,142.524151,17.95117281,17.95117281,,,116984,15812057,22536,142.524151032,21,17.951172810,17
18-49,18-29,202117,2021-17,01/04/2004,case,all_types,2021-17,,,,0,9.836096392,174.7327065,174.7327065,17.76443617,17.76443617,,,4587818,25546448,44638,174.732706480,815,17.764436166,17
18-49,30-49,202117,2021-17,01/04/2004,case,all_types,2021-17,,,,0,9.115052278,177.8606823,177.8606823,19.51285378,19.51285378,,,11879349,33097253,58867,177.860682275,2318,19.512853777,17
50-79,50-64,202117,2021-17,01/04/2004,case,all_types,2021-17,,,,0,9.764003563,147.7368329,147.7368329,15.13076393,15.13076393,,,13185058,18535662,27384,147.736832922,1995,15.130763930,17
50-79,65-79,202117,2021-17,01/04/2004,case,all_types,2021-17,,,,0,12.26169548,126.1861366,126.1861366,10.29108387,10.29108387,,,16839820,7261495,9163,126.186136601,1733,10.291083871,17
80+,80+,202117,2021-17,01/04/2004,case,all_types,2021-17,,,,0,5.45557264,86.88529856,86.88529856,15.92597227,15.92597227,,,5243008,2490640,2164,86.885298558,835,15.925972266,17
all_ages_adj,all_ages_adj,202117,2021-17,01/04/2004,case,all_types,2021-17,9.311900415,158.6653109,17.03898279,0,10.77440829,160.3526372,160.3526372,14.88273257,14.88273257,,,51852037,102743555,164752,160.352637204,7717,14.882732572,17
all_ages_adj,all_ages_adj,202117,2021-17,01/04/2004,case,Janssen,2021-17,4.679440143,158.6653109,33.90690042,0,4.305825767,160.3526372,160.3526372,37.24085597,37.24085597,,,5131461,102743555,164752,160.352637204,1911,37.240855967,17
all_ages_adj,all_ages_adj,202117,2021-17,01/04/2004,case,Moderna,2021-17,8.488011261,158.6653109,18.69287234,0,16.71069149,160.3526372,160.3526372,9.595811001,9.595811001,,,21280119,102743555,164752,160.352637204,2042,9.595811001,17
all_ages_adj,all_ages_adj,202117,2021-17,01/04/2004,case,Pfizer,2021-17,9.984977049,158.6653109,15.89040317,0,10.84565245,160.3526372,160.3526372,14.78496918,14.78496918,,,25363597,102743555,164752,160.352637204,3750,14.784969182,17
5-17,Dec-17,202118,2021-18,01/05/2005,case,all_types,2021-18,,,,0,23.41981998,114.7237448,114.7237448,4.898575005,4.898575005,,,204141,15660228,17966,114.723744763,10,4.898575005,18
18-49,18-29,202118,2021-18,01/05/2005,case,all_types,2021-18,,,,0,10.50250768,143.3410283,143.3410283,13.64826694,13.64826694,,,5517184,24772391,35509,143.341028325,753,13.648266942,18
18-49,30-49,202118,2021-18,01/05/2005,case,all_types,2021-18,,,,0,10.78666566,152.1148356,152.1148356,14.10211834,14.10211834,,,13997897,31887751,48506,152.114835568,1974,14.102118340,18
50-79,50-64,202118,2021-18,01/05/2005,case,all_types,2021-18,,,,0,11.45792451,129.7485912,129.7485912,11.32391744,11.32391744,,,15842574,17730443,23005,129.748591166,1794,11.323917439,18
50-79,65-79,202118,2021-18,01/05/2005,case,all_types,2021-18,,,,0,13.25762509,112.3809032,112.3809032,8.476699437,8.476699437,,,17518611,7003859,7871,112.380903156,1485,8.476699437,18
80+,80+,202118,2021-18,01/05/2005,case,all_types,2021-18,,,,0,5.732963829,79.68350272,79.68350272,13.89918114,13.89918114,,,5381612,2432122,1938,79.683502719,748,13.899181138,18
all_ages_adj,all_ages_adj,202118,2021-18,01/05/2005,case,all_types,2021-18,11.33852458,135.1070639,11.9157535,0,11.71058412,135.4903446,135.4903446,11.5699049,11.5699049,,,58462019,99486794,134795,135.490344578,6764,11.569904898,18
all_ages_adj,all_ages_adj,202118,2021-18,01/05/2005,case,Janssen,2021-18,5.137894348,135.1070639,26.29619348,0,4.722671659,135.4903446,135.4903446,28.68934246,28.68934246,,,5141282,99486794,134795,135.490344578,1475,28.689342464,18
all_ages_adj,all_ages_adj,202118,2021-18,01/05/2005,case,Moderna,2021-18,19.00579057,135.1070639,7.108731594,0,18.55650215,135.4903446,135.4903446,7.301502376,7.301502376,,,24118324,99486794,134795,135.490344578,1761,7.301502376,18
all_ages_adj,all_ages_adj,202118,2021-18,01/05/2005,case,Pfizer,2021-18,11.4177617,135.1070639,11.8330604,0,11.2187215,135.4903446,135.4903446,12.07716446,12.07716446,,,29121074,99486794,134795,135.490344578,3517,12.077164462,18
5-17,Dec-17,202119,2021-19,01/05/2005,case,all_types,2021-19,,,,0,21.16261285,90.42022632,90.42022632,4.272640007,4.272640007,,,351071,15302992,13837,90.420226319,15,4.272640007,19
18-49,18-29,202119,2021-19,01/05/2005,case,all_types,2021-19,,,,0,11.95740534,120.0619839,120.0619839,10.04080572,10.04080572,,,6692690,24113378,28951,120.061983850,672,10.040805715,19
18-49,30-49,202119,2021-19,01/05/2005,case,all_types,2021-19,,,,0,12.63392549,129.615507,129.615507,10.25932178,10.25932178,,,16355857,30922226,40080,129.615506982,1678,10.259321783,19
50-79,50-64,202119,2021-19,01/05/2005,case,all_types,2021-19,,,,0,12.49583386,113.5268033,113.5268033,9.085172276,9.085172276,,,18117433,17114901,19430,113.526803339,1646,9.085172276,19
50-79,65-79,202119,2021-19,01/05/2005,case,all_types,2021-19,,,,0,12.7231372,102.4663259,102.4663259,8.053542478,8.053542478,,,18041750,6798331,6966,102.466325926,1453,8.053542478,19
80+,80+,202119,2021-19,01/05/2005,case,all_types,2021-19,,,,0,6.645896535,79.19732172,79.19732172,11.91672505,11.91672505,,,5488085,2383919,1888,79.197321721,654,11.916725051,19
all_ages_adj,all_ages_adj,202119,2021-19,01/05/2005,case,all_types,2021-19,12.57417688,115.7062372,9.201893553,0,12.22915673,115.0216182,115.0216182,9.405523271,9.405523271,,,65046886,96635747,111152,115.021618242,6118,9.405523271,19
all_ages_adj,all_ages_adj,202119,2021-19,01/05/2005,case,Janssen,2021-19,5.778384465,115.7062372,20.02397693,0,5.208281554,115.0216182,115.0216182,22.08437026,22.08437026,,,5275224,96635747,111152,115.021618242,1165,22.084370256,19
all_ages_adj,all_ages_adj,202119,2021-19,01/05/2005,case,Moderna,2021-19,19.65384747,115.7062372,5.887205412,0,18.20805649,115.0216182,115.0216182,6.317072794,6.317072794,,,26705407,96635747,111152,115.021618242,1687,6.317072794,19
all_ages_adj,all_ages_adj,202119,2021-19,01/05/2005,case,Pfizer,2021-19,12.56761112,115.7062372,9.206700946,0,11.68314039,115.0216182,115.0216182,9.845094249,9.845094249,,,32980893,96635747,111152,115.021618242,3247,9.845094249,19
5-17,Dec-17,202120,2021-20,01/05/2005,case,all_types,2021-20,,,,0,17.81946877,71.3737538,71.3737538,4.005380561,4.005380561,,,599194,14113031,10073,71.373753802,24,4.005380561,20
18-49,18-29,202120,2021-20,01/05/2005,case,all_types,2021-20,,,,0,11.8782876,92.09647443,92.09647443,7.753346069,7.753346069,,,8202910,23397204,21548,92.096474433,636,7.753346069,20
18-49,30-49,202120,2021-20,01/05/2005,case,all_types,2021-20,,,,0,11.1023602,100.8971127,100.8971127,9.087897605,9.087897605,,,18882255,29886881,30155,100.897112683,1716,9.087897605,20
50-79,50-64,202120,2021-20,01/05/2005,case,all_types,2021-20,,,,0,11.82143582,87.40934091,87.40934091,7.39413911,7.39413911,,,19907659,16505101,14427,87.409340906,1472,7.394139110,20
50-79,65-79,202120,2021-20,01/05/2005,case,all_types,2021-20,,,,0,12.17890132,81.51433089,81.51433089,6.69307754,6.69307754,,,18481782,6602520,5382,81.514330892,1237,6.693077540,20
80+,80+,202120,2021-20,01/05/2005,case,all_types,2021-20,,,,0,5.293460835,57.59745956,57.59745956,10.88087007,10.88087007,,,5578598,2340381,1348,57.597459559,607,10.880870068,20
all_ages_adj,all_ages_adj,202120,2021-20,01/05/2005,case,all_types,2021-20,11.51056522,89.76750714,7.798705398,0,11.24434446,89.32402886,89.32402886,7.943907195,7.943907195,,,71652398,92845118,82933,89.324028863,5692,7.943907195,20
all_ages_adj,all_ages_adj,202120,2021-20,01/05/2005,case,Janssen,2021-20,5.355280679,89.76750714,16.76242806,0,4.839113744,89.32402886,89.32402886,18.45875786,18.45875786,,,5612512,92845118,82933,89.324028863,1036,18.458757861,20
all_ages_adj,all_ages_adj,202120,2021-20,01/05/2005,case,Moderna,2021-20,9.849322302,89.76750714,9.114079567,0,15.81263632,89.32402886,89.32402886,5.648901742,5.648901742,,,28872869,92845118,82933,89.324028863,1631,5.648901742,20
all_ages_adj,all_ages_adj,202120,2021-20,01/05/2005,case,Pfizer,2021-20,11.71344251,89.76750714,7.663631513,0,10.99565124,89.32402886,89.32402886,8.123577851,8.123577851,,,37077259,92845118,82933,89.324028863,3012,8.123577851,20
5-17,Dec-17,202121,2021-21,01/05/2005,case,all_types,2021-21,,,,0,15.24947393,48.4498794,48.4498794,3.177150872,3.177150872,,,849818,13428310,6506,48.449879397,27,3.177150872,21
18-49,18-29,202121,2021-21,01/05/2005,case,all_types,2021-21,,,,0,11.39220795,69.27587661,69.27587661,6.080987719,6.080987719,,,9603703,22784266,15784,69.275876607,584,6.080987719,21
18-49,30-49,202121,2021-21,01/05/2005,case,all_types,2021-21,,,,0,11.77282076,78.19453734,78.19453734,6.641954289,6.641954289,,,21048022,29019930,22692,78.194537340,1398,6.641954289,21
50-79,50-64,202121,2021-21,01/05/2005,case,all_types,2021-21,,,,0,11.3569805,68.15223251,68.15223251,6.000911291,6.000911291,,,21246773,16009747,10911,68.152232512,1275,6.000911291,21
50-79,65-79,202121,2021-21,01/05/2005,case,all_types,2021-21,,,,0,11.8892563,65.7593215,65.7593215,5.530986956,5.530986956,,,18839314,6443193,4237,65.759321504,1042,5.530986956,21
80+,80+,202121,2021-21,01/05/2005,case,all_types,2021-21,,,,0,4.892913667,45.33569455,45.33569455,9.265582358,9.265582358,,,5655338,2305027,1045,45.335694549,524,9.265582358,21
all_ages_adj,all_ages_adj,202121,2021-21,01/05/2005,case,all_types,2021-21,11.40070964,68.84376723,6.038551053,0,10.82666397,67.97941822,67.97941822,6.278888714,6.278888714,,,77242968,89990473,61175,67.979418221,4850,6.278888714,21
all_ages_adj,all_ages_adj,202121,2021-21,01/05/2005,case,Janssen,2021-21,5.164109974,68.84376723,13.33119697,0,4.629769036,67.97941822,67.97941822,14.6831122,14.6831122,,,5945606,89990473,61175,67.979418221,873,14.683112201,21
all_ages_adj,all_ages_adj,202121,2021-21,01/05/2005,case,Moderna,2021-21,14.1011992,68.84376723,4.882121459,0,16.00532185,67.97941822,67.97941822,4.247300921,4.247300921,,,30960839,89990473,61175,67.979418221,1315,4.247300921,21
all_ages_adj,all_ages_adj,202121,2021-21,01/05/2005,case,Pfizer,2021-21,11.19530054,68.84376723,6.149345162,0,10.3156655,67.97941822,67.97941822,6.589920761,6.589920761,,,40243276,89990473,61175,67.979418221,2652,6.589920761,21
5-17,Dec-17,202122,2021-22,01/06/2006,case,all_types,2021-22,,,,0,11.94047038,36.85716448,36.85716448,3.086743093,3.086743093,,,1069088,13066659,4816,36.857164483,33,3.086743093,22
18-49,18-29,202122,2021-22,01/06/2006,case,all_types,2021-22,,,,0,11.00090582,55.56058082,55.56058082,5.050545995,5.050545995,,,10731513,22364777,12426,55.560580819,542,5.050545995,22
18-49,30-49,202122,2021-22,01/06/2006,case,all_types,2021-22,,,,0,10.58454356,64.16714461,64.16714461,6.062344041,6.062344041,,,22812958,28410178,18230,64.167144606,1383,6.062344041,22
50-79,50-64,202122,2021-22,01/06/2006,case,all_types,2021-22,,,,0,10.38951267,55.07562862,55.07562862,5.301079112,5.301079112,,,22316211,15667547,8629,55.075628623,1183,5.301079112,22
50-79,65-79,202122,2021-22,01/06/2006,case,all_types,2021-22,,,,1,10.24057431,52.26201723,52.26201723,5.103426395,5.103426395,,,19144001,6335385,3311,52.262017225,977,5.103426395,22
80+,80+,202122,2021-22,01/06/2006,case,all_types,2021-22,,,,1,4.751322012,37.44232939,37.44232939,7.8804024,7.8804024,,,5723058,2280841,854,37.442329386,451,7.880402400,22
all_ages_adj,all_ages_adj,202122,2021-22,01/06/2006,case,all_types,2021-22,10.32565597,55.60818535,5.385438514,1,9.805180235,54.76968856,54.76968856,5.585791107,5.585791107,,,81796829,88125387,48266,54.769688558,4569,5.585791107,22
all_ages_adj,all_ages_adj,202122,2021-22,01/06/2006,case,Janssen,2021-22,4.254051205,55.60818535,13.07181852,1,4.463281953,54.76968856,54.76968856,12.27116932,12.27116932,,,6291169,88125387,48266,54.769688558,772,12.271169317,22
all_ages_adj,all_ages_adj,202122,2021-22,01/06/2006,case,Moderna,2021-22,15.14732756,55.60818535,3.671154871,1,13.55363988,54.76968856,54.76968856,4.04095793,4.04095793,,,32789255,88125387,48266,54.769688558,1325,4.040957930,22
all_ages_adj,all_ages_adj,202122,2021-22,01/06/2006,case,Pfizer,2021-22,10.1959986,55.60818535,5.453922417,1,9.465777089,54.76968856,54.76968856,5.786074196,5.786074196,,,42619571,88125387,48266,54.769688558,2466,5.786074196,22
5-17,Dec-17,202123,2021-23,01/06/2006,case,all_types,2021-23,,,,0,9.582438781,32.24821391,32.24821391,3.365345153,3.365345153,,,1218300,12738690,4108,32.248213906,41,3.365345153,23
18-49,18-29,202123,2021-23,01/06/2006,case,all_types,2021-23,,,,0,9.920351801,52.34306593,52.34306593,5.276331624,5.276331624,,,11542110,21997183,11514,52.343065928,609,5.276331624,23
18-49,30-49,202123,2021-23,01/06/2006,case,all_types,2021-23,,,,0,9.992916716,58.97181198,58.97181198,5.9013613,5.9013613,,,24079190,27876030,16439,58.971811983,1421,5.901361300,23
50-79,50-64,202123,2021-23,01/06/2006,case,all_types,2021-23,,,,0,8.93513,50.54563397,50.54563397,5.656955632,5.656955632,,,23104300,15374226,7771,50.545633972,1307,5.656955632,23
50-79,65-79,202123,2021-23,01/06/2006,case,all_types,2021-23,,,,1,9.495112556,47.9555716,47.9555716,5.050553252,5.050553252,,,19384015,6239108.2,2992,47.955571599,979,5.050553252,23
80+,80+,202123,2021-23,01/06/2006,case,all_types,2021-23,,,,1,4.205766169,33.12120412,33.12120412,7.875189156,7.875189156,,,5777639,2258372,748,33.121204124,455,7.875189156,23
all_ages_adj,all_ages_adj,202123,2021-23,01/06/2006,case,all_types,2021-23,9.366469326,51.11165012,5.456874767,1,8.910580002,50.38180113,50.38180113,5.654155074,5.654155074,,,85105554,86483609.2,43572,50.381801133,4812,5.654155074,23
all_ages_adj,all_ages_adj,202123,2021-23,01/06/2006,case,Janssen,2021-23,3.952149827,51.11165012,12.93261955,1,4.117626138,50.38180113,50.38180113,12.23564244,12.23564244,,,6611831,86483609.2,43572,50.381801133,809,12.235642442,23
all_ages_adj,all_ages_adj,202123,2021-23,01/06/2006,case,Moderna,2021-23,14.73512111,51.11165012,3.468695624,1,13.13742109,50.38180113,50.38180113,3.834984109,3.834984109,,,34237430,86483609.2,43572,50.381801133,1313,3.834984109,23
all_ages_adj,all_ages_adj,202123,2021-23,01/06/2006,case,Pfizer,2021-23,8.983370747,51.11165012,5.689584852,1,8.304168806,50.38180113,50.38180113,6.067049251,6.067049251,,,44156556,86483609.2,43572,50.381801133,2679,6.067049251,23
5-17,Dec-17,202124,2021-24,01/06/2006,case,all_types,2021-24,,,,0,11.47201958,31.44672045,31.44672045,2.741166908,2.741166908,,,1568675,12433729,3910,31.446720449,43,2.741166908,24
18-49,18-29,202124,2021-24,01/06/2006,case,all_types,2021-24,,,,0,9.317226529,51.46771863,51.46771863,5.523931233,5.523931233,,,12092837,21662122,11149,51.467718629,668,5.523931233,24
18-49,30-49,202124,2021-24,01/06/2006,case,all_types,2021-24,,,,0,8.780080352,56.75593902,56.75593902,6.464170799,6.464170799,,,24921990,27392728,15547,56.755939021,1611,6.464170799,24
50-79,50-64,202124,2021-24,01/06/2006,case,all_types,2021-24,,,,0,8.572531044,48.57897885,48.57897885,5.666818656,5.666818656,,,23628778,15113533,7342,48.578978853,1339,5.666818656,24
50-79,65-79,202124,2021-24,01/06/2006,case,all_types,2021-24,,,,1,7.954062993,44.38056705,44.38056705,5.579609702,5.579609702,,,19553339,6153594.2,2731,44.380567051,1091,5.579609702,24
80+,80+,202124,2021-24,01/06/2006,case,all_types,2021-24,,,,1,3.72990661,30.46357793,30.46357793,8.167383562,8.167383562,,,5815816,2238739,682,30.463577934,475,8.167383562,24
all_ages_adj,all_ages_adj,202124,2021-24,01/06/2006,case,all_types,2021-24,8.596241808,49.1764847,5.720695834,1,8.153799791,48.66318017,48.66318017,5.968159805,5.968159805,,,87581435,84994445.2,41361,48.663180167,5227,5.968159805,24
all_ages_adj,all_ages_adj,202124,2021-24,01/06/2006,case,Janssen,2021-24,4.327828777,49.1764847,11.36285358,1,3.961131367,48.66318017,48.66318017,12.285172,12.285172,,,6845651,84994445.2,41361,48.663180167,841,12.285172002,24
all_ages_adj,all_ages_adj,202124,2021-24,01/06/2006,case,Moderna,2021-24,13.6047704,49.1764847,3.6146501,1,11.98495871,48.66318017,48.66318017,4.060354427,4.060354427,,,35193972,84994445.2,41361,48.663180167,1429,4.060354427,24
all_ages_adj,all_ages_adj,202124,2021-24,01/06/2006,case,Pfizer,2021-24,8.050102027,49.1764847,6.108802662,1,7.495618674,48.66318017,48.66318017,6.492216625,6.492216625,,,45439026,84994445.2,41361,48.663180167,2950,6.492216625,24
5-17,Dec-17,202125,2021-25,01/06/2006,case,all_types,2021-25,,,,0,11.02375329,37.31954243,37.31954243,3.385375329,3.385375329,,,2658494,12116976,4522,37.319542434,90,3.385375329,25
18-49,18-29,202125,2021-25,01/06/2006,case,all_types,2021-25,,,,0,7.700335089,59.23313121,59.23313121,7.692279689,7.692279689,,,12636046,21347850,12645,59.233131205,972,7.692279689,25
18-49,30-49,202125,2021-25,01/06/2006,case,all_types,2021-25,,,,0,7.095287252,64.52936465,64.52936465,9.094679659,9.094679659,,,25718333,26945872,17388,64.529364646,2339,9.094679659,25
50-79,50-64,202125,2021-25,01/06/2006,case,all_types,2021-25,,,,0,7.352058872,52.90470078,52.90470078,7.195902768,7.195902768,,,24097046,14868244,7866,52.904700784,1734,7.195902768,25
50-79,65-79,202125,2021-25,01/06/2006,case,all_types,2021-25,,,,1,6.96849394,48.19803091,48.19803091,6.91656351,6.91656351,,,19706318,6072862.2,2927,48.198030905,1363,6.916563510,25
80+,80+,202125,2021-25,01/06/2006,case,all_types,2021-25,,,,1,3.71280136,32.42799184,32.42799184,8.734103632,8.734103632,,,5850629,2220304,720,32.427991843,511,8.734103632,25
all_ages_adj,all_ages_adj,202125,2021-25,01/06/2006,case,all_types,2021-25,7.269271601,55.44852995,7.627797253,1,7.130673386,55.12365428,55.12365428,7.73049771,7.73049771,,,90666866,83572108.2,46068,55.123654282,7009,7.730497710,25
all_ages_adj,all_ages_adj,202125,2021-25,01/06/2006,case,Janssen,2021-25,4.225761963,55.44852995,13.12154599,1,3.825378947,55.12365428,55.12365428,14.40998527,14.40998527,,,7078425,83572108.2,46068,55.123654282,1020,14.409985272,25
all_ages_adj,all_ages_adj,202125,2021-25,01/06/2006,case,Moderna,2021-25,11.15145382,55.44852995,4.972314001,1,10.38483282,55.12365428,55.12365428,5.308092606,5.308092606,,,35926276,83572108.2,46068,55.123654282,1907,5.308092606,25
all_ages_adj,all_ages_adj,202125,2021-25,01/06/2006,case,Pfizer,2021-25,6.615436476,55.44852995,8.381688821,1,6.431527885,55.12365428,55.12365428,8.570848991,8.570848991,,,47556549,83572108.2,46068,55.123654282,4076,8.570848991,25
5-17,Dec-17,202126,2021-26,01/06/2006,case,all_types,2021-26,,,,0,12.66387261,55.37993797,55.37993797,4.373064993,4.373064993,,,3384354,11838222,6556,55.379937967,148,4.373064993,26
18-49,18-29,202126,2021-26,01/06/2006,case,all_types,2021-26,,,,0,6.368972363,80.78039686,80.78039686,12.68342713,12.68342713,,,13158904,21055851,17009,80.780396860,1669,12.683427130,26
18-49,30-49,202126,2021-26,01/06/2006,case,all_types,2021-26,,,,0,6.006651616,88.18365084,88.18365084,14.68099975,14.68099975,,,26469587,26533263,23398,88.183650839,3886,14.680999745,26
50-79,50-64,202126,2021-26,01/06/2006,case,all_types,2021-26,,,,0,6.245691791,65.78488697,65.78488697,10.53284234,10.53284234,,,24523295,14644701,9634,65.784886970,2583,10.532842344,26
50-79,65-79,202126,2021-26,01/06/2006,case,all_types,2021-26,,,,1,6.611190637,59.66931002,59.66931002,9.02550135,9.02550135,,,19843773,5999734.2,3580,59.669310017,1791,9.025501350,26
